	Camera1	Camera2	Camera3	Camera4
fx	1447.619	1449.793 	1451.752 	1442.380
fy	1448.284 	1450.645 	1452.454 	1442.765
Cx	1259.797 	1227.504 	1237.842 	1260.490
Cy	1010.198 	1023.535 	1024.002 	1015.280
k1	0.03892 	0.04054 	0.05497 	0.07124
k2	-0.17648 	-0.19316 	-0.25346 	-0.30276
k3	0.40482 	0.42983 	0.52742 	0.58799
k4	-0.29527 	-0.30600 	-0.36250 	-0.38694
k5	0.00000 	0.00000 	0.00000 	0.00000
k6	0.00000 	0.00000 	0.00000 	0.00000
p1	-0.00001 	-0.00171 	0.00120 	0.00117
p2	-0.00193 	0.00062 	-0.00122 	-0.00157
